Save: 109, Episode: 419/10000, Score: 1165.4428352381801, Epsilon: 0.9717559600006132, Play_time: 93, Spawn distance: 58.1531257228733
Save: 110, Episode: 421/10000, Score: 2917.759053797128, Epsilon: 0.9716332000006158, Play_time: 295, Spawn distance: 75.77708552142815
Save: 111, Episode: 422/10000, Score: 1475.445118365803, Epsilon: 0.9716147200006162, Play_time: 56, Spawn distance: 47.04834286514086
Save: 112, Episode: 423/10000, Score: 1985.0654226443705, Epsilon: 0.9715223200006182, Play_time: 279, Spawn distance: 77.14413114282253
Save: 113, Episode: 426/10000, Score: 1636.4051797081017, Epsilon: 0.9712702000006237, Play_time: 244, Spawn distance: 75.96024229521312
Save: 114, Episode: 427/10000, Score: 2216.780749213126, Epsilon: 0.9711210400006269, Play_time: 453, Spawn distance: 55.60225492491753
Save: 115, Episode: 431/10000, Score: 1385.6378998061246, Epsilon: 0.9706273600006377, Play_time: 141, Spawn distance: 54.99917440489154
Save: 116, Episode: 432/10000, Score: 1311.3863371227617, Epsilon: 0.9705125200006401, Play_time: 347, Spawn distance: 51.281696001519656
Save: 117, Episode: 434/10000, Score: 5030.674336853254, Epsilon: 0.9703052800006446, Play_time: 175, Spawn distance: 55.81936410420622
Save: 118, Episode: 437/10000, Score: 1812.4938981569203, Epsilon: 0.9700069600006511, Play_time: 391, Spawn distance: 103.53263407573236
Save: 119, Episode: 438/10000, Score: 6812.2452982443465, Epsilon: 0.9698578000006544, Play_time: 453, Spawn distance: 69.96798381579838
Save: 120, Episode: 440/10000, Score: 6214.836332330053, Epsilon: 0.9695594800006608, Play_time: 453, Spawn distance: 56.89493921110505
Save: 121, Episode: 442/10000, Score: 958.2795707655794, Epsilon: 0.969457840000663, Play_time: 74, Spawn distance: 47.68366348248806
Save: 122, Episode: 444/10000, Score: 1255.2665219144583, Epsilon: 0.9691964800006687, Play_time: 339, Spawn distance: 71.99952273033954
Save: 123, Episode: 447/10000, Score: 7810.488443984284, Epsilon: 0.9688268800006767, Play_time: 453, Spawn distance: 71.70210260085197
Save: 124, Episode: 448/10000, Score: 6415.138113151086, Epsilon: 0.96867772000068, Play_time: 453, Spawn distance: 67.27772500941279
Save: 125, Episode: 449/10000, Score: 2209.9043287480495, Epsilon: 0.9685285600006832, Play_time: 453, Spawn distance: 93.68597254847667
Save: 126, Episode: 450/10000, Score: 618.2469980072847, Epsilon: 0.9683794000006865, Play_time: 453, Spawn distance: 57.19981780447211
Save: 127, Episode: 451/10000, Score: 5013.708070948118, Epsilon: 0.9682302400006897, Play_time: 453, Spawn distance: 47.00182173167923
Save: 128, Episode: 457/10000, Score: 1747.5835525517334, Epsilon: 0.9674950000007057, Play_time: 113, Spawn distance: 68.75404522954815
Save: 129, Episode: 458/10000, Score: 617.3875968881396, Epsilon: 0.9673458400007089, Play_time: 453, Spawn distance: 69.62345802753293
Save: 130, Episode: 459/10000, Score: 1000.0, Epsilon: 0.967339240000709, Play_time: 21, Spawn distance: 45.2355861359179
